Title,Rating,Link,Description,Cast,Directors,Producers,Genres,Themes
Attack on Titan: The Roar of Awakening,4.44,https://letterboxd.com/film/attack-on-titan-the-roar-of-awakening/,"Eren Yeager and others of the 104th Training Corps have just begun to become full members of the Survey Corps. As they ready themselves to face the Titans once again, their preparations are interrupted by the invasion of Wall Rose—but all is not as it seems as more mysteries are unraveled. As the Survey Corps races to save the wall, they uncover more about the invading Titans and the dark secrets of their own members.","['Yuki Kaji', 'Yui Ishikawa', 'Marina Inoue', 'Hiro Shimono', 'Yu Kobayashi', 'Shiori Mikami', 'Saki Fujita', 'Yoshimasa Hosoya', 'Kenjiro Tsuda', 'Takehito Koyasu', 'Yu Shimamura', 'Kisho Taniyama', 'Daisuke Ono', 'Hiroshi Kamiya', 'Romi Park', 'Tomohisa Hashizume', 'Risa Shimizu', 'Kimihiko Nakamura']","['Tetsuro Araki', 'Masashi Koizuka']",['Yasuko Kobayashi'],"['Action', 'Fantasy', 'Animation', 'Adventure']",[]
Björk: Vespertine Live at the Royal Opera House,4.44,https://letterboxd.com/film/bjork-vespertine-live-at-the-royal-opera/,"A live performance by Icelandic singer-songwriter Björk recorded at the Royal Opera House in London, England on December 16, 2001. Björk performs tracks from her fourth studio album ""Vespertine"" along with songs from her previous solo albums.","['Björk', 'Simon Lee', 'Zeena Parkins', 'Drew Daniel', 'M.C. Schmidt']",['David Barnard'],['Jacqui Edenbrow'],"['Music', 'Documentary']",[]
Andrei Rublev,4.44,https://letterboxd.com/film/andrei-rublev/,"An expansive Russian drama, this film focuses on the life of revered religious icon painter Andrei Rublev. Drifting from place to place in a tumultuous era, the peace-seeking monk eventually gains a reputation for his art. But after Rublev witnesses a brutal battle and unintentionally becomes involved, he takes a vow of silence and spends time away from his work. As he begins to ease his troubled soul, he takes steps towards becoming a painter once again.","['Anatoliy Solonitsyn', 'Ivan Lapikov', 'Mykola Hrynko', 'Nikolai Sergeyev', 'Irma Raush', 'Nikolay Burlyaev', 'Yuriy Nazarov', 'Yuriy Nikulin', 'Rolan Bykov', 'Nikolay Grabbe', 'Mikhail Kononov', 'Stepan Krylov', 'Bolot Beyshenaliev', 'B. Matysik', 'Anatoliy Obukhov', 'Volodya Titov', 'Nikolay Glazkov', 'K. Aleksandrov', 'Semyon Bardin', 'Ivan Bykov', 'G. Borisovskiy', 'Vladimir Vasilyev', 'Zinaida Vorkul', 'Aleksandr Titov', 'Viktor Volkov', 'Irina Miroshnichenko', 'Tamara Ogorodnikova', 'Natalya Radolitskaya', 'Nikolay Kutuzov', 'Show All…', 'Dmitriy Orlovskiy', 'Vladimir Guskov', 'Igor Donskoy', 'Iskender Ryskulov', 'P. Makarov', 'Georgiy Sochevko', 'Nelli Snegina', 'G. Pokorskiy', 'Asanbek Umuraliev', 'Vyacheslav Tsaryov', 'Ivan Turchenkov', 'Anatoliy Nikitin', 'P. Yermakov', 'Aleksandr Petrov', 'Nikolay Sibeikin', 'Vasiliy Tsygankov', 'Larisa Solonitsyna', 'Anatoli Yabbarov', 'Klara Rumyanova']",['Andrei Tarkovsky'],"['Andrei Tarkovsky', 'Andrei Konchalovsky']","['History', 'Drama']","['Faith and religion', 'Humanity and the world around us', 'Religious faith, sin, and forgiveness', 'Faith and spiritual journeys', 'Surreal and thought-provoking visions of life and death', 'Powerful poetic and passionate drama', 'Emotional life of renowned artists']"
The Battle of Algiers,4.44,https://letterboxd.com/film/the-battle-of-algiers/,"Paratrooper commander Colonel Mathieu, a former French Resistance fighter during World War II, is sent to Algeria to reinforce efforts to squelch the uprisings of the Algerian War. There he faces Ali la Pointe, a former petty criminal who, as the leader of the Algerian Front de Liberation Nationale, directs terror strategies against the colonial French government occupation. As each side resorts to ever-increasing brutality, no violent act is too unthinkable.","['Brahim Hadjadj', 'Jean Martin', 'Yacef Saâdi', 'Fouzia El Kader', 'Mohamed Ben Kassen', 'Hadj Smaine Mohamed Seghir', 'Larbi Zekkal', 'Rouiched', 'Noureddine Brahimi', 'Si Mohamed Baghdadi', 'Abderrahmane Brahimi', 'Fatiha Djoudi', 'Franco Moruzzi', 'Tomasso Neri', 'Samia Kerbash', 'Ugo Paletti', 'Gene Wesson']",['Gillo Pontecorvo'],"['Antonio Musu', 'Yacef Saâdi']","['History', 'Drama', 'War']","['Politics and human rights', 'War and historical adventure', 'Military combat and heroic soldiers', 'Politics, propaganda, and political documentaries', 'Political drama, patriotism, and war', 'Riveting political and presidential drama', 'Nazis and World War II']"
Sherlock: The Reichenbach Fall,4.44,https://letterboxd.com/film/sherlock-the-reichenbach-fall/,Jim Moriarty hatches a mad scheme to turn the whole city against Sherlock.,"['Benedict Cumberbatch', 'Martin Freeman', 'Una Stubbs', 'Rupert Graves', 'Mark Gatiss', 'Andrew Scott', 'Louise Brealey', 'Katherine Parkinson', 'Vinette Robinson', 'Jonathan Aris', 'Tanya Moodie', 'Tony Pitts', 'Jaye Griffiths', 'Ian Hallard', 'Malcolm Rennie', 'Sydney Wade', 'Paul Leonard', 'Christopher Hunter', 'Tony Way', 'Lorraine Hilton', 'Peter Basham', 'Rebecca Noble', 'Robert Benfield', 'Ifan Huw Dafydd', 'Michael Müller', 'Pano Masti', 'Douglas Wilmer']",['Toby Haynes'],"['Charlotte Ashby', 'Elaine Cameron']","['TV Movie', 'Mystery', 'Drama', 'Crime']",[]
"history of the entire world, i guess",4.44,https://letterboxd.com/film/history-of-the-entire-world-i-guess/,"Hi, you're on a rock, floating in space. Pretty cool, huh? Some of it is water. Actually most of it is water. I can't even get from here to there without buying a boat. It's sad. I'm sad. How did this happen?",['Bill Wurtz'],['Bill Wurtz'],['Bill Wurtz'],"['History', 'Documentary', 'Comedy', 'Music']",[]
Scenes from a Marriage,4.44,https://letterboxd.com/film/scenes-from-a-marriage-1973-1/,"Johan and Marianne are married and seem to have it all. Their happiness, however, is a façade for a troubled relationship, which becomes even rockier when Johan admits that he's having an affair. Before long, the spouses separate and move towards finalizing their divorce, but they make attempts at reconciling. Even as they pursue other relationships, Johan and Marianne realize that they have a significant bond, but also many issues that hinder that connection.","['Liv Ullmann', 'Erland Josephson', 'Bibi Andersson', 'Jan Malmsjö', 'Gunnel Lindblom', 'Wenche Foss', 'Bertil Norström', 'Anita Wall', 'Rossana Mariano', 'Lena Bergman', 'Ingmar Bergman', 'Barbro Hiort af Ornäs']",['Ingmar Bergman'],['Lars-Owe Carlberg'],['Drama'],"['Moving relationship stories', 'Passion and romance', 'Powerful stories of heartbreak and suffering', 'Enduring stories of family and marital drama', 'Captivating relationships and charming romance', 'Heartbreaking and moving family drama']"
Planet Earth III,4.44,https://letterboxd.com/film/planet-earth-iii/,"Journeying to the far reaches of our planet, this eight part series follows some of the world's most amazing species, telling extraordinary stories that are dramatic, thrilling, funny and sometimes heart-breaking, but always full of hope.",['David Attenborough'],"['Nick Easton', 'Will Ridgeon', 'Kiri Cashell', 'Charlotte Bostock', 'Sarah Whalley', 'Theo Webb', 'Fredi Devas', 'Steve Greenwood', 'Abigail Lees']",['Mike Gunton'],"['Documentary', 'Family']",[]
National Theatre Live: Angels In America — Part Two: Perestroika,4.44,https://letterboxd.com/film/national-theatre-live-angels-in-america-part-two-perestroika/,"America in the mid-1980s. In the midst of the AIDS crisis and a conservative Reagan administration, New Yorkers grapple with life and death, love and sex, heaven and hell. This new staging of Tony Kushner's multi-award winning two-part play, Angels In America: A Gay Fantasia On National Themes, is directed by Olivier and Tony award winning director Marianne Elliott.","['Andrew Garfield', 'Nathan Lane', 'Susan Brown', 'Denise Gough', 'Amanda Lawrence', 'James McArdle', 'Nathan Stewart-Jarrett', 'Russell Tovey', 'Stuart Angell', 'Laura Caldow', 'Claire Lambert', 'Becky Namgauds', 'Stan West', 'Lewis Wilkins']",['Marianne Elliott'],"['Kate Moore', 'Flo Buckeridge', 'Ieva Bachtiarova']",['Drama'],[]
The Trial,4.44,https://letterboxd.com/film/the-trial-2017-2/,Full coverage of The Trial of Tim Heidecker in which Tim Heidecker stood accused of 20 counts of 2nd degree felony murder against The Electric Sun 20.,"['Tim Heidecker', 'Gregg Turkington', 'Don Pecchia', 'Inger Tudor', 'Manuel Giusti', 'Alessandro Serradimigni']",['Eric Notarnicola'],"['Andrew Porter', 'Tim Heidecker', 'Gregg Turkington', 'Dave Kneebone']","['Crime', 'Comedy']",[]
Apocalypse Now,4.44,https://letterboxd.com/film/apocalypse-now/,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.","['Martin Sheen', 'Marlon Brando', 'Frederic Forrest', 'Albert Hall', 'Laurence Fishburne', 'Sam Bottoms', 'Robert Duvall', 'G. D. Spradlin', 'Harrison Ford', 'Jerry Ziesmer', 'Scott Glenn', 'Kerry Rossall', 'James Keane', 'Tom Mason', 'Cynthia Wood', 'Dennis Hopper', 'Colleen Camp', 'Linda Carpenter', 'Aurore Clément', 'Jack Thibeau', 'Glenn Walken', 'Damien Leake', 'Marc Coppola', 'Bill Graham', 'Herb Rice', 'Jerry Ross', 'Charles Robinson', 'Nick Nicholson', 'Don Gordon Bell', 'Show All…', 'R. Lee Ermey', 'Jim Gaines', 'Vittorio Storaro', 'Evan A. Lottman', 'Francis Ford Coppola', 'Henry Strzalkowski', 'William Upton', 'George Cantero', 'Joe Estevez', 'Bo Byers', 'Frank Villard', 'Christian Marquand', 'Michel Pitton', 'David Olivier', 'Chrystel Le Pelletier', 'Roman Coppola', 'Gian-Carlo Coppola', 'Robert Julian', 'Yvon LeSeaux', 'Daniel Kiewit', 'Hattie James']",['Francis Ford Coppola'],"['Francis Ford Coppola', 'Fred Roos', 'Gray Frederickson', 'Tom Sternberg', 'Eddie Romero', 'John Ashley', 'Mona Skager']","['Drama', 'War']","['War and historical adventure', 'Humanity and the world around us', 'Politics and human rights', 'Intense violence and sexual transgression', 'Epic history and literature', 'Military combat and heroic soldiers', 'Surreal and thought-provoking visions of life and death', 'Bravery in War', 'Dreamlike, quirky, and surreal storytelling', 'Historical battles and epic heroism']"
Where the Light Is: John Mayer Live in Los Angeles,4.44,https://letterboxd.com/film/where-the-light-is-john-mayer-live-in-los/,"On tour promoting his 2006 studio album 'Continuum', American pop rock singer-songwriter and guitarist John Mayer performs, consecutively, an intimate acoustic set, a John Mayer Trio blues show, and a full-band concert at the Nokia Theatre in Los Angeles, California on December 8, 2007.","['John Mayer', 'Robbie McIntosh', 'David Ryan Harris', 'Steve Jordan', 'Pino Palladino', 'J.J. Johnson', 'David LaBruyere', 'Tim Bradshaw', 'Bob Reynolds', 'Brad Mason']",['Danny Clinch'],['Lindha Narvaez'],['Music'],[]
Incendies,4.43,https://letterboxd.com/film/incendies/,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.","['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Rémy Girard', 'Allen Altman', 'Abdelghafour Elaaziz', 'Dominique Briand', 'Frédéric Paquet', 'Ahmad Massad', 'John Dunn-Hill', 'Jackie Sawiris', 'Lara Atalla', 'Baya Belal', 'Yousef Shweihat', 'Karim Babin', 'Mohamed Majd', 'Mustafa Kamel', 'Hussein Sami', 'Hamed Najem', 'Bader Alami', 'Majida Hussein', 'Asriah Nijres', 'Nadia Essadiqi', 'Baraka Rahmani', 'Nabil Koni']",['Denis Villeneuve'],"['Anthony Doncque', 'Ziad Touma', 'Miléna Poylo', 'Gilles Sacuto', 'Kim McCraw', 'Luc Déry']","['Mystery', 'Drama', 'War']","['Intense violence and sexual transgression', 'Moving relationship stories', 'Gripping, intense violent crime', 'Heartbreaking and moving family drama', 'Powerful stories of heartbreak and suffering', 'Emotional and touching family dramas', 'Racism and the powerful fight for justice']"
The Apartment,4.43,https://letterboxd.com/film/the-apartment/,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.","['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston', 'Jack Kruschen', 'David Lewis', 'Hope Holiday', 'Joan Shawlee', 'Naomi Stevens', 'Johnny Seven', 'Joyce Jameson', 'Willard Waterman', 'David White', 'Edie Adams', 'Dorothy Abbott', 'Ralph Moratz', 'Joe Palma', 'Bill Baldwin', 'Benny Burt', 'Lynn Cartwright', 'Mason Curry', 'David Macklin', 'Hal Smith', 'Paul Bradley', 'Steve Carruthers', 'Dick Cherney', 'Franklyn Farnum', 'Herschel Graham', 'Lars Hensen', 'Show All…', 'Eugene Jackson', 'Frances Weintraub Lax', 'William Meader', ""Monty O'Grady"", 'Paul Power', 'Tony Regan', 'Clark Ross', 'Norman Stevans', 'Sid Troy']",['Billy Wilder'],"['Billy Wilder', 'Doane Harrison', 'I. A. L. Diamond']","['Drama', 'Romance', 'Comedy']","['Relationship comedy', 'Moving relationship stories', 'Crude humor and satire', 'Humanity and the world around us', 'Laugh-out-loud relationship entanglements', 'Charming romances and delightful chemistry', 'Quirky and endearing relationships', 'Captivating relationships and charming romance', 'Passion and romance']"
Tokyo Story,4.43,https://letterboxd.com/film/tokyo-story/,"The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.","['Chishū Ryū', 'Chieko Higashiyama', 'Setsuko Hara', 'Haruko Sugimura', 'So Yamamura', 'Kuniko Miyake', 'Kyōko Kagawa', 'Eijirō Tōno', 'Nobuo Nakamura', 'Shirō Ōsaka', 'Hisao Toake', 'Teruko Nagaoka', 'Mutsuko Sakura', 'Toyo Takahashi', 'Tōru Abe', 'Sachiko Mitani', 'Ryōko Mizuki', 'Keijirō Morozumi', 'Shozo Suzuki', 'Haruko Chichibu', 'Takashi Miki', 'Toshinosuke Nagao', 'Zen Murase', 'Mitsuhiro Môri', 'Yoshiko Togawa', 'Fumio Tooyama', 'Tomoka Hasebe']",['Yasujirō Ozu'],['Takeshi Yamamoto'],['Drama'],"['Moving relationship stories', 'Humanity and the world around us', 'Heartbreaking and moving family drama', 'Powerful stories of heartbreak and suffering', 'Emotional and touching family dramas', 'Tragic sadness and captivating beauty', 'Touching and sentimental family stories']"
Sunset Boulevard,4.43,https://letterboxd.com/film/sunset-boulevard/,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson', 'Fred Clark', 'Lloyd Gough', 'Jack Webb', 'Franklyn Farnum', 'Larry J. Blake', 'Charles Dayton', 'Cecil B. DeMille', 'Hedda Hopper', 'Buster Keaton', 'Anna Q. Nilsson', 'H.B. Warner', 'Ray Evans', 'Jay Livingston', 'Fred Aldrich', 'Joel Allen', 'Gertrude Astor', 'Anne Bauchens', 'Edward Biby', 'Danny Borzage', 'Ken Christy', 'Ruth Clifford', 'John Cortay', 'Archie R. Dalzell', 'Eddie Dew', 'Julia Faye', 'Show All…', 'Al Ferguson', 'Gerry Ganzer', 'Rudy Germane', 'Kenneth Gibson', 'Creighton Hale', 'Chuck Hamilton', 'Len Hendry', 'E. Mason Hopper', 'Stan Johnson', 'Tiny Jones', 'Howard Joslin', 'Arthur Lane', 'Perc Launders', 'William Meader', 'Gertrude Messinger', 'Harold Miller', 'Howard Negley', ""John 'Skins' Miller"", 'Lee Miller', 'Ralph Montgomery', 'Bert Moorhouse', 'Jay Morley', 'Eva Novak', ""Frank O'Connor"", ""Robert Emmett O'Connor"", 'Jack Perrin', 'Sidney Skolsky', 'Emmett Smith', 'Archie Twitchell', 'Yvette Vickers', 'Henry Wilcoxon', 'James Hawley', 'Bernice Mosk', 'Virginia L. Randolph', 'Bill Sheehan', 'Roy Thompson', 'Jack Warden', 'Finn Zirzow']",['Billy Wilder'],['Charles Brackett'],['Drama'],"['Humanity and the world around us', 'Dreamlike, quirky, and surreal storytelling', 'Terrifying, haunted, and supernatural horror', 'Powerful stories of heartbreak and suffering']"
Brass Eye,4.43,https://letterboxd.com/film/brass-eye/,"Investigative reporter Chris Morris puts modern Britain under the spotlight, and smacks the issues of the day till they bleed. He tackles weighty issues including animals, drugs, sex and skewered celebrities and politicians alike - and in a later episode in 2001, paedophiles.","['Chris Morris', 'Mark Heap']",['Michael Cumming'],"['Caroline Leddy', 'Chris Morris', 'Alison MacPhail']",['Comedy'],[]
Shōgun,4.43,https://letterboxd.com/film/shogun-2024/,"In Japan in the year 1600, at the dawn of a century-defining civil war, Lord Yoshii Toranaga is fighting for his life as his enemies on the Council of Regents unite against him, when a mysterious European ship is found marooned in a nearby fishing village.","['Hiroyuki Sanada', 'Cosmo Jarvis', 'Anna Sawai', 'Tadanobu Asano', 'Takehiro Hira', 'Tommy Bastow', 'Fumi Nikaido']","['Jonathan van Tulleken', 'Charlotte Brändström', 'Fred Toye', 'Hiromi Kamata', 'Takeshi Fukunaga', 'Emmanuel Osei-Kuffour, Jr.']","['Hiroyuki Sanada', 'Erin Smith', 'Heather J. Turner', 'Caillin Puente', 'Eriko Miyagawa', 'Jamie Vega Wheeler', 'Tom Winchester', 'Jo Smith']",['Drama'],"['Epic history and literature', 'Humanity and the world around us', 'Historical battles and epic heroism', 'Emotional and captivating fantasy storytelling', 'Captivating vision and Shakespearean drama', 'Powerful poetic and passionate drama']"
The Grand Tour: One For The Road,4.43,https://letterboxd.com/film/the-grand-tour-one-for-the-road/,"The trio ignore Mr Wilman’s instructions and head to Zimbabwe in three cars they’ve always wanted to own, a Lancia Montecarlo, a Ford Capri 3-litre, and a Triumph Stag. They embark on a stunning road trip through Zimbabwe’s beautiful and sometimes challenging landscapes leading to an emotional farewell to their lives together.","['Jeremy Clarkson', 'James May', 'Richard Hammond']",['Andy Wilman'],[],['Documentary'],[]
My Chemical Romance: Life on the Murder Scene,4.43,https://letterboxd.com/film/my-chemical-romance-life-on-the-murder-scene/,"Life On The Murder Scene offers an in-depth, extensive video diary, featuring band interviews and behind-the-scenes commentary.","['Gerard Way', 'Ray Toro', 'Mikey Way', 'Frank Iero', 'Bob Bryar', 'Howard Benson', 'Brian Schechter']","['Brad Nolan', 'Greg Kaplan']","['Craig Aaronson', 'Ken Blaustein', 'Brad Nolan']","['Documentary', 'Music']",[]
Smiling Friends,4.43,https://letterboxd.com/film/smiling-friends/,"A small company dedicated to bringing happiness to the world receives a simple request to help a woman’s unhappy son smile again, but the job turns out to be more complicated than it seems.","['Michael Cusack', 'Zach Hadel', 'Mike Stoklasa', 'Marc Moceri', 'David Dore', 'Tom Fulp', 'Nick Wolfhard', 'Finn Wolfhard']","['Zach Hadel', 'Michael Cusack']","['Keith Crofford', 'Marshell B. Golde', 'Walter Newman', 'Zach Hadel', 'Michael Cusack', 'Brendan Burch']","['Animation', 'Comedy']","['Crude humor and satire', 'Funny jokes and crude humor', 'Gags, jokes, and slapstick humor', 'Amusing jokes and witty satire', 'Dreamlike, quirky, and surreal storytelling', 'Spooky, scary comedy']"
Interstellar,4.43,https://letterboxd.com/film/interstellar/,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,"['Matthew McConaughey', 'Anne Hathaway', 'Michael Caine', 'Jessica Chastain', 'Casey Affleck', 'Wes Bentley', 'Topher Grace', 'Mackenzie Foy', 'Ellen Burstyn', 'John Lithgow', 'Bill Irwin', 'David Gyasi', 'Timothée Chalamet', 'Matt Damon', 'Josh Stewart', 'Leah Cairns', 'Liam Dickinson', 'Francis X. McCarthy', 'William Devane', 'Andrew Borba', 'Elyes Gabel', 'David Oyelowo', 'Collette Wolfe', 'Jeff Hephner', 'Russ Fega', 'Lena Georgas', 'Brooke Smith', 'Flora Nolan', 'Griffen Fraser', 'Show All…', 'Kristian Van der Heyden', 'William Patrick Brown', 'Benjamin Hardy', 'Joseph Oliveira', 'Alexander Michael Helisek']",['Christopher Nolan'],"['Christopher Nolan', 'Lynda Obst', 'Emma Thomas']","['Science Fiction', 'Drama', 'Adventure']","['Monsters, aliens, sci-fi and the apocalypse', 'Humanity and the world around us', 'Moving relationship stories', 'Imaginative space odysseys and alien encounters', 'Action-packed space and alien sagas', 'Thought-provoking sci-fi action and future technology', ""Humanity's odyssey: earth and beyond"", 'Surreal and thought-provoking visions of life and death']"
The Passion of Joan of Arc,4.43,https://letterboxd.com/film/the-passion-of-joan-of-arc/,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.","['Maria Falconetti', 'Eugène Silvain', 'André Berley', 'Maurice Schutz', 'Antonin Artaud', 'Michel Simon', ""Jean d'Yd"", 'Louis Ravet', 'Armand Lurville', 'Jacques Arnna', 'Alexandre Mihalesco', 'Léon Larive', 'Jean Aymé', 'Gilbert Dacheux', 'Gilbert Dalleu', 'Paul Delauzac', 'Dimitri Dimitriev', 'Fournez-Goffard', 'Henri Gaultier', 'Paul Jorge', 'Marie Lacroix', 'Henri Maillard', 'Raymond Narlay']",['Carl Theodor Dreyer'],"['Carl Theodor Dreyer', 'Joseph Delteil']","['Drama', 'History']","['Humanity and the world around us', 'Faith and religion', 'Moving relationship stories', 'Epic history and literature', 'Religious faith, sin, and forgiveness', 'Surreal and thought-provoking visions of life and death', 'Powerful poetic and passionate drama', 'Powerful stories of heartbreak and suffering', 'Faith and spiritual journeys']"
I Am Cuba,4.43,https://letterboxd.com/film/i-am-cuba/,"Four vignettes on the lives of the Cuban people in the pre-revolutionary era. In Havana, Maria is ashamed when a man she loves discovers how she makes a living. Pedro, an old farmer, discovers that the land he cultivates is being sold to an American company. A student sees his friends attacked by the police while they distribute leaflets supporting Fidel Castro. Finally, a peasant family is threatened by Batista's army.","['Sergio Corrieri', 'Salvador Wood', 'José Gallardo', 'Raúl García', 'Luz María Collazo', 'Jean Bouise', 'Alberto Morgan', 'Fausto Mirabal', 'Roberto García York', 'María de las Mercedes Díez', 'Bárbara Domínguez', 'Jesús del Monte', 'Luisa María Jiménez Rodríquez', 'Mario González Broche', 'Tony López', 'Héctor Castañeda', 'Rosendo Lamadriz', 'Roberto Villar', 'Roberto Cabrera', 'Alfredo Ávila', 'José Espinosa', 'Rafael Díaz', 'Isabel Moreno', 'Manuel J. Mora', 'Raquel Revuelta', 'Aramís Delgado', 'Raúl Gómez', 'Pepe Ramírez']",['Mikhail Kalatozov'],"['Yevgeny Yevtushenko', 'Enrique Pineda Barnet']",['Drama'],"['Politics and human rights', 'Political drama, patriotism, and war', 'Riveting political and presidential drama', 'Powerful poetic and passionate drama', 'Politics, propaganda, and political documentaries', 'Racism and the powerful fight for justice']"
Steins;Gate,4.43,https://letterboxd.com/film/steins-gate/,"A group of friends have customized their microwave so that it can send text messages to the past. As they perform different experiments, an organization named SERN who has been doing their own research on time travel tracks them down and now the characters have to find a way to avoid being captured by them.","['Mamoru Miyano', 'Asami Imai', 'Kana Hanazawa', 'Tomokazu Seki', 'Yukari Tamura', 'Haruko Momoi', 'Yu Kobayashi']","['Kazuhiro Ozawa', 'Shigetaka Ikeda', 'Kanji Wakabayashi', 'Tomoko Hiramuki', 'Hisato Shimoda', 'Tomoki Kobayashi', 'Koji Kobayashi', 'Yuzuru Tachikawa', 'Hiroyuki Tsuchiya', 'Yoshito Mikamo', 'Hiroshi Hamasaki']","['Kenjiro Gomi', 'Kozue Kananiwa', 'Yoshito Danno', 'Takayuki Matsunaga', 'Shinsaku Tanaka']","['Comedy', 'Mystery', 'Animation']","['Moving relationship stories', 'Emotional and captivating fantasy storytelling', 'Touching and sentimental family stories']"
Hannibal: This Is My Design,4.43,https://letterboxd.com/film/hannibal-this-is-my-design/,"An in-depth look at the production of Hannibal season 2, including everything from location shoots to special effects.","['Hugh Dancy', 'Mads Mikkelsen', 'Bryan Fuller', 'Aaron Abrams', 'Scott Thompson', 'Hettienne Park', 'Lara Jean Chorostecki']",['Cliff Stephenson'],['Cliff Stephenson'],['Documentary'],[]
The Ascent,4.43,https://letterboxd.com/film/the-ascent/,"Two Soviet partisans leave their starving band to get supplies from a nearby farm. The Germans have reached the farm first, so the pair must go on a journey deep into occupied territory, a voyage that will also take them deep into their souls.","['Boris Plotnikov', 'Vladimir Gostyukhin', 'Sergey Yakovlev', 'Lyudmila Polyakova', 'Viktoriya Goldentul', 'Anatoliy Solonitsyn', 'Mariya Vinogradova', 'Nikolai Sektimenko', 'Leonid Yukhin', 'Aleksandr Zvenigorskiy', 'Vladimir Rudyy', 'Anatoli Chebotaryov', 'Igor Bezyaev', 'Stanislav Borodokin', 'Galina Bulkina', 'Vadim Gusev', 'Stanislav Zhitarev', 'Gennadi Nenashev', 'Vasili Kravtsov', 'Aleksandr Pyatkov', 'Mikhail Selyutin', 'V. Sokolov', 'Vladimir Tkalich', 'Aleksandra Kharitonova', 'Sergey Yurtaykin', 'Nikolai Smirnov', 'Sergei Kanishchev', 'Vladimir Sukhorebry', 'Nikolay Gagarin', 'Show All…', 'Sergey Fyodorov', 'Yevgeniy Markov']",['Larisa Shepitko'],['Willie Geller'],"['Drama', 'War']","['War and historical adventure', 'Military combat and heroic soldiers', 'Nazis and World War II', 'Political drama, patriotism, and war', 'Surreal and thought-provoking visions of life and death', 'Faith and spiritual journeys']"
Six Feet Under: In Memoriam,4.43,https://letterboxd.com/film/six-feet-under-in-memoriam/,A eulogy for the groundbreaking HBO series.,"['Lauren Ambrose', 'Alan Ball', 'Kathy Bates', 'Peter Krause', 'Rachel Griffiths', 'Lili Taylor', 'Rainn Wilson']",['Jesse Gordon'],['Jesse Gordon'],['Documentary'],[]
Move to Heaven,4.43,https://letterboxd.com/film/move-to-heaven/,"Finding life in all that’s left behind, a detail-oriented trauma cleaner and his estranged uncle deliver untold stories of the departed to loved ones.","['Lee Je-hoon', 'Tang Joon-sang', 'Hong Seung-hee', 'Jeong Seok-yong', 'Jung Young-ju', 'Lee Moon-sik', 'Im Won-hee', 'Jung Ae-yeun']",['Kim Sung-ho'],['Lee Young-lim'],['Drama'],"['Moving relationship stories', 'Touching and sentimental family stories', 'Tragic sadness and captivating beauty', 'Emotional and touching family dramas', 'Heartbreaking and moving family drama']"
The Office Retrospective,4.43,https://letterboxd.com/film/the-office-retrospective/,The cast and crew of the American version of The Office discuss the show and highlights from the previous episodes.,"['Greg Daniels', 'B.J. Novak', 'Mindy Kaling', 'Angela Kinsey', 'Jenna Fischer', 'Paul Lieberstein', 'Ed Helms', 'John Krasinski', 'Ricky Gervais', 'Craig Robinson', 'Ben Silverman', 'Rainn Wilson', 'Kate Flannery', 'Oscar Nuñez']","['Greg Daniels', 'Ben Silverman']",[],['Documentary'],[]
