Title,Rating,Link,Description,Cast,Directors,Producers,Genres,Themes
Planet Earth II,4.64,https://letterboxd.com/film/planet-earth-ii/,David Attenborough presents a documentary series exploring how animals meet the challenges of surviving in the most iconic habitats on earth.,['David Attenborough'],"['Elizabeth White', 'Justin Anderson', 'Emma Napper', 'Ed Charles', 'Chadden Hunter', 'Fredi Devas', 'Alastair Fothergill']",['Bob Gilles'],"['Family', 'Documentary']","['Humanity and the world around us', ""Humanity's odyssey: earth and beyond""]"
Samuel,4.64,https://letterboxd.com/film/samuel-2024/,"Samuel is 10 years old. He's keeping a diary, and he has a problem. His problem is that Basile told the tall Julie that Samuel loved her. Which isn't true, he doesn't care about Julie. It's only that she laughed at one of his jokes once and he thought she was nice to do so.",['Émilie Tronche'],['Émilie Tronche'],"['Damien Megherbi', 'Justin Pechberty', 'Pablo Jordi']",['Animation'],[]
12 Angry Men,4.63,https://letterboxd.com/film/12-angry-men/,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.","['Martin Balsam', 'John Fiedler', 'Lee J. Cobb', 'E.G. Marshall', 'Jack Klugman', 'Edward Binns', 'Jack Warden', 'Henry Fonda', 'Joseph Sweeney', 'Ed Begley', 'George Voskovec', 'Robert Webber', 'Rudy Bond', 'Tom Gorman', 'James Kelly', 'Billy Nelson', 'Walter Stocker']",['Sidney Lumet'],"['Henry Fonda', 'Reginald Rose', 'George Justin']",['Drama'],"['Humanity and the world around us', 'Suspenseful crime thrillers', 'Gripping, intense violent crime', 'Intense political and terrorist thrillers']"
The Human Condition III: A Soldier's Prayer,4.63,https://letterboxd.com/film/the-human-condition-iii-a-soldiers-prayer/,"After the Japanese defeat to the Russians, Kaji leads the last remaining men through Manchuria. Intent on returning to his dear wife and his old life, Kaji faces great odds in a variety of different harrowing circumstances as he and his fellow men sneak behind enemy lines.","['Tatsuya Nakadai', 'Michiyo Aratama', 'Tamao Nakamura', 'Yūsuke Kawazu', 'Chishū Ryū', 'Taketoshi Naitō', 'Kyôko Kishida', 'Reiko Hitomi', 'Keijirō Morozumi', 'Koji Kiyomura', 'Nobuo Kaneko', 'Fujio Suga', 'Tatsuya Ishiguro', 'Kazuo Kitamura', 'Toshio Takahara', 'Akira Yamanouchi', ""Hiroshi Nihon'yanagi"", 'Kōichi Hayashi', 'Kō Mihashi', 'Kichijirō Ueda', 'Hideko Takamine', 'Masahiko Naruse', 'Kin Sugai', 'Miyoko Nakamura', 'Yoshie Minami', 'Fumie Kitahara', ""Gen'ya Nagai"", 'Hideo Fukuhara', 'Kanji Ōsugi', 'Show All…', 'Akira Kimura', 'Yoshiko Watanabe', 'Saburō Bōya', 'Takashi Sue', 'Tetsuo Mizoi', 'Daijirô Minami', 'Hideko Aki', 'Ed Keane', 'Henrî Ban', 'Torauemon Utazawa']",['Masaki Kobayashi'],"['Masaki Kobayashi', 'Shigeru Wakatsuki']","['History', 'Drama', 'War']","['War and historical adventure', 'Military combat and heroic soldiers', 'Political drama, patriotism, and war']"
Planet Earth,4.63,https://letterboxd.com/film/planet-earth-2006/,"David Attenborough celebrates the amazing variety of the natural world in this epic documentary series, filmed over four years across 64 different countries.",['David Attenborough'],['Alastair Fothergill'],['Alastair Fothergill'],['Documentary'],"['Monsters, aliens, sci-fi and the apocalypse', ""Humanity's odyssey: earth and beyond""]"
Lady Gaga: MAYHEM on the Beach,4.63,https://letterboxd.com/film/lady-gaga-mayhem-on-the-beach/,"The second edition of Todo Mundo no Rio, internationally known as Mayhem on the Beach, marked a historic moment on Copacabana Beach. After thirteen years away from the country, Lady Gaga returned to Brazil with a free concert promoting her eighth studio album, Mayhem (2025). With a record-breaking crowd of 2.5 million people, the show became the biggest performance of her career and cemented her as the female artist with the largest audience in history.",['Lady Gaga'],"['Micah Bickham', 'Lady Gaga']",['Pedro Secchin'],"['Music', 'TV Movie']",[]
One Piece Fan Letter,4.62,https://letterboxd.com/film/one-piece-fan-letter/,"Two years after the Summit War in which Straw Hat pirate Luffy lost his brother Ace, the story takes place on the Sabaody Archipelago. The protagonist, a young girl who has a strong admiration for Nami, sets off on a small adventure. This is an ensemble drama that focuses on people who do not ""pursue"" ONE PIECE, depicting the reunion of the Straw Hat Pirates from their perspective.","['Cocoro Kikuchi', 'Yasuyuki Kase', 'Mayumi Tanaka', 'Akemi Okamura', 'Ikue Otani']",['Megumi Ishitani'],[],"['Drama', 'Adventure', 'Animation', 'TV Movie']","['Humanity and the world around us', 'Emotional and captivating fantasy storytelling']"
Fishmans: Otokotachi no Wakare 98.12.28 @ Akasaka Blitz,4.62,https://letterboxd.com/film/fishmans-otokotachi-no-wakare-981228-akasaka-blitz/,"Fishmans' legendary final live performance under the Fishmans name before frontman Shinji Sato's passing. The show was recorded and filmed at Akasaka Blitz, a Japanese music venue based in Minato, Tokyo, on December 28, 1998, and released as an album nine months later. The album title roughly translates to ""A Men's Farewell: December 28th, 1998"", a reference to the tour name to bassist Yuzuru Kashiwabara's departure and to signal an ""end of an era"" for the band's three piece era.","['Shinji Sato', 'Yuzuru Kashiwabara', 'Kin-ichi Motegi', 'Honzi', 'Michio Sekiguchi']",['Kensuke Kawamura'],['Shinji Sato'],"['Music', 'Documentary']",[]
Come and See,4.62,https://letterboxd.com/film/come-and-see/,"The invasion of a village in Belarus by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.","['Aleksei Kravchenko', 'Olga Mironova', 'Liubomiras Laucevičius', 'Vladas Bagdonas', 'Jüri Lumiste', 'Viktors Lorencs', 'Kazimir Rabetsky', 'Yevgeni Tilicheyev', 'Aleksandr Berda', 'G. Velts', 'Viktor Vasiliev', 'Igor Gnevashev', 'Vasiliy Domrachyov', 'Gennadiy Yelkin', 'Evgeniy Kryzhanovskiy', 'N. Lisichenok', 'Viktor Manaev', 'Takhir Matyullin', 'Pyotr Merkuryev', 'Valentin Mishatkin', 'Gennady Matytskiy', 'Yevgeniya Polyakova', 'Anatoly Slivnikov', 'Georgiy Strokov', 'Tatyana Shestakova', 'Oleg Shapko', 'Nina Evdokimova', 'Valery Kravchenko', 'Aleksandra Ravenskikh', 'Show All…', 'Aleksandr Solopov', 'Igor Bezyaev', 'Yakov Ovchukov-Suvorov', 'Svetlana Zelenkovskaya']",['Elem Klimov'],['Stepan Tereschenko'],"['War', 'Drama']","['War and historical adventure', 'Intense violence and sexual transgression', 'Humanity and the world around us', 'Military combat and heroic soldiers', 'Nazis and World War II', 'Surreal and thought-provoking visions of life and death', 'Political drama, patriotism, and war', 'Graphic violence and brutal revenge']"
Over the Garden Wall,4.62,https://letterboxd.com/film/over-the-garden-wall-2014/,"Two brothers, Wirt and Greg, find themselves lost in the Unknown; a strange forest adrift in time. With the help of a wise old Woodsman and a foul-tempered bluebird named Beatrice, Wirt and Greg must travel across this strange land, in hope of finding their way home. Join them as they encounter surprises and obstacles on their journey through the wood.","['Elijah Wood', 'Collin Dean']",['Nate Cash'],"['Pernelle Hayes', 'Curtis Lelash', 'Patrick McHale', 'Brian A. Miller', 'Jennifer Pelphrey', 'Rob Sorcher']","['Animation', 'Mystery', 'Family', 'Comedy']","['Fairy-tale fantasy and enchanted magic', 'Emotional and captivating fantasy storytelling', ""Kids' animated fun and adventure"", 'Dreamlike, quirky, and surreal storytelling', 'Holiday joy and heartwarming Christmas']"
