Title,Rating,Link
Attack on Titan The Final Chapters: Special 2 (2023),4.59,https://letterboxd.com/film/attack-on-titan-the-final-chapters-special-2/
The Shawshank Redemption (1994),4.58,https://letterboxd.com/film/the-shawshank-redemption/
Renaissance: A Film by Beyoncé (2023),4.58,https://letterboxd.com/film/renaissance-a-film-by-beyonce/
Attack on Titan The Final Chapters: Special 1 (2023),4.57,https://letterboxd.com/film/attack-on-titan-the-final-chapters-special-1-2023/
When They See Us (2019),4.57,https://letterboxd.com/film/when-they-see-us/
Frieren: Beyond Journey's End (2023),4.56,https://letterboxd.com/film/frieren-beyond-journeys-end/
Tapping the Wire (2007),4.56,https://letterboxd.com/film/tapping-the-wire/
Alice In Chains: MTV Unplugged (1996),4.56,https://letterboxd.com/film/alice-in-chains-mtv-unplugged/
City of God (2002),4.56,https://letterboxd.com/film/city-of-god/
The Human Condition I: No Greater Love (1959),4.55,https://letterboxd.com/film/the-human-condition-i-no-greater-love/
Absolutely (2021),4.55,https://letterboxd.com/film/absolutely-2021/
Night and Fog (1956),4.55,https://letterboxd.com/film/night-and-fog/
The Pop Out: Ken & Friends (2024),4.54,https://letterboxd.com/film/the-pop-out-ken-friends/
The Beatles: Get Back (2021),4.54,https://letterboxd.com/film/the-beatles-get-back/
Paris Is Burning (1990),4.54,https://letterboxd.com/film/paris-is-burning/
Yi Yi (2000),4.54,https://letterboxd.com/film/yi-yi/
Blue Planet II (2017),4.54,https://letterboxd.com/film/blue-planet-ii/
Attack on Titan: Chronicle (2020),4.54,https://letterboxd.com/film/attack-on-titan-chronicle/
Parasite (2019),4.54,https://letterboxd.com/film/parasite-2019/
Neon Genesis Evangelion (1995),4.54,https://letterboxd.com/film/neon-genesis-evangelion/
Schindler's List (1993),4.54,https://letterboxd.com/film/schindlers-list/
Scavengers Reign (2023),4.53,https://letterboxd.com/film/scavengers-reign/
Fanny and Alexander (1984),4.53,https://letterboxd.com/film/fanny-and-alexander-1984/
The Lord of the Rings: The Return of the King (2003),4.53,https://letterboxd.com/film/the-lord-of-the-rings-the-return-of-the-king/
NANA (2006),4.53,https://letterboxd.com/film/nana-2006/
Jeff Buckley: Live in Chicago (2000),4.53,https://letterboxd.com/film/jeff-buckley-live-in-chicago/
The Godfather (1972),4.53,https://letterboxd.com/film/the-godfather/
Cosmos: A Personal Voyage (1980),4.53,https://letterboxd.com/film/cosmos-a-personal-voyage/
DJ Mehdi: Made in France (2024),4.52,https://letterboxd.com/film/dj-mehdi-made-in-france/
Shoah (1985),4.52,https://letterboxd.com/film/shoah/
Adventure Time (2007),4.52,https://letterboxd.com/film/adventure-time/
Reply 1988 (2015),4.52,https://letterboxd.com/film/reply-1988/
Ikiru (1952),4.51,https://letterboxd.com/film/ikiru/
